County,"Life Expectancy, 2014"
Jackson,74.58
Pike,74.75
Lawrence,75.26
Scioto,74.77
Adams,75.15
Vinton,75.27
Fayette,75.34
Gallia,75.55
Jefferson,75.79
Meigs,75.92
Brown,75.97
Perry,76.63
Harrison,76.35
Mahoning,77.24
Clark,76.34
Guernsey,76.8
Ross,75.87
Lucas,77.06
Highland,76.12
Cuyahoga,77.87
Hocking,76.71
Pickaway,77.5
Madison,77.58
Marion,77.08
Athens,76.9
Franklin,77.6
Montgomery,76.91
Hamilton,77.24
Clinton,76.81
Muskingum,77.04
Ashtabula,76.64
Crawford,77.2
Morgan,77.66
Hardin,76.89
Trumbull,77.38
Logan,77.3
Columbiana,77.63
Coshocton,77.5
Clermont,78.18
Champaign,77.39
Belmont,77.54
Licking,78.07
Richland,77.81
Huron,77.67
Washington,77.63
Erie,77.96
Knox,78.21
Paulding,78.35
Summit,78.02
Lorain,78.59
Allen,77.95
Monroe,77.65
Butler,77.88
Morrow,78.24
Preble,77.41
Sandusky,78.08
Tuscarawas,78.87
Stark,78.52
Wyandot,78.67
Ottawa,79.35
Seneca,78.15
Miami,78.85
Union,79.08
Darke,78.69
Defiance,78.68
Carroll,78.28
Fairfield,78.95
Greene,79.58
Warren,79.61
Wayne,78.85
Van Wert,78.82
Shelby,78.73
Ashland,78.78
Portage,78.88
Lake,79.26
Henry,79.47
Williams,78.92
Auglaize,79.16
Fulton,79.01
Mercer,79.33
Wood,79.32
Hancock,79.46
Holmes,79.37
Medina,80.26
Noble,81.05
Putnam,80.03
Delaware,81.43
Geauga,81.64
